Date,Predicted_Weighted_CPI
2025-05-01,194.03878141263942
2025-06-01,194.40641214374227
2025-07-01,194.5822112763322
2025-08-01,194.84989318463445
2025-09-01,196.90890929368038
2025-10-01,198.56907187112782
