Date,Weighted_CPI
2016-09-01,131.51391573729862
2016-10-01,132.03254027261463
2016-11-01,131.71992565055763
2016-12-01,130.56210656753407
2017-01-01,130.2331598513011
2017-02-01,130.39063197026024
2017-03-01,130.5333209417596
2017-04-01,130.79394052044606
2017-05-01,131.06193308550186
2017-06-01,131.97071871127636
2017-07-01,134.3206567534077
2017-08-01,135.66069392812886
2017-09-01,135.06019826517965
2017-10-01,135.82510532837668
2017-11-01,137.2275960346964
2017-12-01,136.44027261462205
2018-01-01,135.9170879801735
2018-02-01,135.12750929368028
2018-03-01,135.22579925650558
2018-05-01,136.55085501858736
2018-06-01,137.58612143742258
2018-07-01,138.82903345724907
2018-08-01,139.3426641883519
2018-10-01,139.14410161090458
2018-11-01,139.07998760842628
2018-12-01,138.52887236679058
2019-01-01,137.9919083023544
2019-02-01,138.2159107806691
2019-03-01,138.7112639405204
2019-04-01,139.50857496902105
2019-05-01,140.4695539033457
2019-06-01,141.59285006195788
2019-07-01,143.1173110285006
2019-08-01,144.0729368029739
2019-09-01,144.86399008674104
2019-10-01,146.49001239157374
2019-11-01,147.88758364312267
2019-12-01,150.1214869888476
2020-01-01,149.66372986369268
2020-02-01,147.96484510532835
2020-03-01,147.22459727385376
2020-04-01,151.14442357360883
2020-05-01,151.67084415584415
2020-06-01,150.86115241635687
2020-07-01,154.0257249070632
2020-08-01,154.68692688971498
2020-09-01,156.77624535315985
2020-11-01,159.3621685254027
2020-12-01,157.26094175960347
2021-01-01,155.60474597273853
2021-02-01,155.6022304832714
2021-03-01,155.6158983890954
2021-04-01,156.74577447335813
2021-05-01,159.46301115241633
2021-06-01,160.7246468401487
2021-07-01,162.03104089219332
2021-08-01,162.30339529120198
2021-09-01,162.57006195786866
2021-10-01,165.0934820322181
2021-11-01,166.46964064436185
2021-12-01,165.89263940520442
2022-01-01,165.25741016109043
2022-02-01,165.5018215613383
2022-03-01,167.2560966542751
2022-04-01,169.53117719950433
2022-05-01,171.31235439900865
2022-06-01,172.37718711276332
2022-07-01,172.89760842627012
2022-08-01,173.93348203221808
2022-09-01,175.11157372986366
2022-10-01,176.46717472118956
2022-11-01,176.11172242874844
2022-12-01,175.11288723667906
2023-01-01,175.86981412639406
2023-02-01,176.12149938042128
2023-03-01,176.63806691449813
2023-04-01,177.55083023543992
2023-05-01,178.43059479553904
2023-06-01,180.92187112763318
2023-07-01,187.15562577447335
2023-08-01,186.832614622057
2023-09-01,184.97998760842626
2023-10-01,186.16521685254025
2023-11-01,187.39639405204463
2023-12-01,186.79270136307312
2024-01-01,186.3593432465923
2024-02-01,186.6002602230483
2024-03-01,186.9986864931846
2024-04-01,188.06076827757124
2024-05-01,189.00128872366793
2024-06-01,192.23111524163568
2024-07-01,195.53083023543988
2024-08-01,195.4316109045849
2024-09-01,196.93294919454766
2024-10-01,199.8782527881041
2024-11-01,199.50661710037173
2024-12-01,198.20242874845104
2025-01-01,195.6571375464684
2025-02-01,194.1914126394052
2025-03-01,193.71840148698885
2025-04-01,194.0544609665427
